"","last_author","is_open_code","is_open_data","is_register_pred","is_coi_pred","is_fund_pred"
"1",0,"10(4)","44(16)","66(24)","249(89)","258(92)"
"2",1,"3(2)","30(22)","31(23)","114(84)","123(91)"
