,publication_year,Total no. of publications
1,2010,7
2,2011,20
3,2012,16
4,2013,31
5,2014,27
6,2015,26
7,2016,32
8,2017,34
9,2018,32
10,2019,55
11,2020,41
12,2021,59
13,2022,35
