Publication Year,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data
2017,89.9,7.2,94.5,2.9,17.2
2018,91.9,8.0,92.7,3.1,17.9
2019,92.7,7.7,93.3,4.4,19.0
2020,94.0,8.7,93.6,4.8,18.3
2021,95.0,8.6,93.7,5.5,18.9
2022,95.3,9.4,93.6,5.4,19.8
